id,vc,lc,dc,fc,cc
580,13412,16,3,0,1
581,670607,288,57,0,45
582,17748,46,2,0,2
583,39778,52,1,0,6
584,55406,311,11,0,14
585,25014,49,6,0,6
586,50754,179,7,0,10
587,17463,31,3,0,3
588,231160,412,14,0,26
589,6984,34,1,0,3
590,139696,79,6,0,12
591,3773,15,0,0,1
592,102253,370,23,0,25
593,9910,10,0,0,0
594,2398,4,0,0,0
595,296905,369,17,0,62
596,83789,90,4,0,44
597,1042555,490,53,0,151
598,429557,830,27,0,167
599,365487,223,25,0,148
600,130050,272,17,0,37
601,248055,489,24,0,73
602,27720,43,5,0,7
603,4612,17,0,0,2
604,12158,32,2,0,1
605,7455,9,2,0,0
606,19549,68,5,0,10
607,6515,12,0,0,0
608,14556,31,1,0,4
609,6269,15,3,0,1
610,17720,66,4,0,13
611,27629,66,3,0,11
612,151524,381,17,0,77
613,7997,16,0,0,0
614,7422,38,2,0,0
615,66799,93,8,0,6
616,81380,145,24,0,3
617,48537,43,1,0,8
618,93022,143,20,0,15
619,175033,299,19,0,28
620,112831,136,13,0,22
621,12278,82,2,0,27
622,80888,300,5,0,42
623,28464,194,17,0,33
624,4188,13,0,0,2
625,1769,7,1,0,0
626,16902,58,4,0,7
627,833341,1376,74,0,312
628,306719,2157,68,0,541
629,11557,31,2,0,1
630,10795,15,2,0,0
631,4991,10,0,0,1
632,2027,11,0,0,1
633,10575,6,0,0,1
634,1441,3,0,0,0
635,321038,162,89,0,59
636,18294,45,3,0,22
637,16571,80,2,0,5
638,10629,41,1,0,6
639,68970,276,23,0,19
640,2398,10,0,0,2
641,10616,61,0,0,1
642,1860,7,0,0,3
643,0,0,0,0,0
644,52068,88,9,0,14
645,383006,157,13,0,71
646,10,5,2,1,2
647,8804,32,2,0,3
648,25986,25,4,0,2
649,35957,113,13,0,9
650,200,15,20,2,1
651,5765,26,1,0,3
652,37226,175,17,0,21
653,16265,81,3,0,4
654,77840,41,8,0,4
655,9746,76,1,0,9
656,31503,111,1,0,29
657,2803,15,1,0,3
658,263065,404,9,0,88
659,107317,110,18,0,4
660,7928,23,0,0,5
661,17643,94,3,0,15
662,11525,36,1,0,6
663,7006,16,0,0,0
664,243315,188,56,0,27
665,7071,11,0,0,1
666,138684,633,46,0,18
667,14653,10,2,0,3
668,2924,13,1,0,1
669,3528,11,1,0,0
670,30040,20,19,0,6
671,5945,34,1,0,5
672,3282,12,0,0,1
673,606983,242,28,0,66
674,337624,299,39,0,25
675,24411,35,18,0,12
676,93755,76,7,0,24
677,27626,216,3,0,3
678,10012,52,4,0,6
679,3577,3,14,0,0
680,20890,32,4,0,0
